Image Name,Channel,Spot Name,Signal,Total,Area,Bkgnd.,Type
0001205_02,Chemi,F02,20786.25,22453.75,145,11.5,Signal
0001205_02,Chemi,F03,37140,38807.5,145,11.5,Signal
0001205_02,Chemi,F04,29812.875,31480.375,145,11.5,Signal
0001205_02,Chemi,F05,30349.75,32017.25,145,11.5,Signal
0001205_02,Chemi,F06,9017.6875,10685.1875,145,11.5,Signal
0001205_02,Chemi,F07,93606.5,95274,145,11.5,Signal
0001205_02,Chemi,F08,20123.3125,21790.8125,145,11.5,Signal
0001205_02,Chemi,F09,21704.6875,23372.1875,145,11.5,Signal
0001205_02,Chemi,F10,74640,76307.5,145,11.5,Signal
0001205_02,Chemi,F11,40100.5,41768,145,11.5,Signal
0001205_02,Chemi,F12,7111.3125,8778.8125,145,11.5,Signal
0001205_02,Chemi,F13,5358.96875,7026.46875,145,11.5,Signal
0001205_02,Chemi,F14,1703.25,3370.75,145,11.5,Signal
0001205_02,Chemi,F15,1702.265625,3369.765625,145,11.5,Signal
0001205_02,Chemi,F16,15079.625,16747.125,145,11.5,Signal
0001205_02,Chemi,F17,57083.625,58751.125,145,11.5,Signal
0001205_02,Chemi,F18,3266.265625,4933.765625,145,11.5,Signal
0001205_02,Chemi,G01,32036.5,33704,145,11.5,Signal
0001205_02,Chemi,G02,17792.5625,19460.0625,145,11.5,Signal
0001205_02,Chemi,G03,47728,49395.5,145,11.5,Signal
0001205_02,Chemi,G04,33520,35187.5,145,11.5,Signal
0001205_02,Chemi,G05,58133.25,59800.75,145,11.5,Signal
0001205_02,Chemi,G06,14070,15737.5,145,11.5,Signal
0001205_02,Chemi,G07,57483.25,59150.75,145,11.5,Signal
0001205_02,Chemi,G08,78187.25,79854.75,145,11.5,Signal
0001205_02,Chemi,G09,24491,26158.5,145,11.5,Signal
0001205_02,Chemi,G10,57946,59613.5,145,11.5,Signal
0001205_02,Chemi,G11,13904.8125,15572.3125,145,11.5,Signal
0001205_02,Chemi,G12,1177.609375,2845.109375,145,11.5,Signal
0001205_02,Chemi,G13,14881.1875,16548.6875,145,11.5,Signal
0001205_02,Chemi,G14,434.5390625,2102.039063,145,11.5,Signal
0001205_02,Chemi,G15,3060.640625,4728.140625,145,11.5,Signal
0001205_02,Chemi,G16,33953.25,35620.75,145,11.5,Signal
0001205_02,Chemi,G17,29829.9375,31497.4375,145,11.5,Signal
0001205_02,Chemi,G18,35436.125,37103.625,145,11.5,Signal
0001205_02,Chemi,H01,21583.0625,23250.5625,145,11.5,Signal
0001205_02,Chemi,H02,24944,26611.5,145,11.5,Signal
0001205_02,Chemi,H03,27858.75,29526.25,145,11.5,Signal
0001205_02,Chemi,H04,46801.25,48468.75,145,11.5,Signal
0001205_02,Chemi,H05,14326.5625,15994.0625,145,11.5,Signal
0001205_02,Chemi,H06,9799.375,11466.875,145,11.5,Signal
0001205_02,Chemi,H07,34072.125,35739.625,145,11.5,Signal
0001205_02,Chemi,H08,12260.3125,13927.8125,145,11.5,Signal
0001205_02,Chemi,H09,12201.0625,13868.5625,145,11.5,Signal
